epoch,loss,val_loss
1,0.03767278790473938,0.016795821487903595
2,0.013541698455810547,0.008456687442958355
3,0.009330719709396362,0.0063031516037881374
4,0.008054908365011215,0.005173454526811838
5,0.00682626711204648,0.005615035071969032
6,0.005282637197524309,0.004598511382937431
7,0.004644776228815317,0.004112851805984974
8,0.004213780164718628,0.0038269611541181803
9,0.00391025235876441,0.004740056581795216
10,0.00382395857013762,0.003651117207482457
11,0.0033633813727647066,0.003532075323164463
12,0.0035450332798063755,0.0033817023504525423
13,0.0031601316295564175,0.00533784506842494
14,0.003333985572680831,0.0033283133525401354
15,0.0031116411555558443,0.0031775389797985554
16,0.0030797894578427076,0.003386816708371043
17,0.003079022979363799,0.003179059363901615
18,0.0029532182961702347,0.003496455727145076
19,0.0030172676779329777,0.002986929612234235
20,0.0029223328456282616,0.0037185719702392817
21,0.0028382190503180027,0.0072687771171331406
22,0.003163796616718173,0.0032607142347842455
23,0.002773549174889922,0.0028969398699700832
24,0.0026855196338146925,0.0037046808283776045
25,0.002757884096354246,0.0030883473809808493
26,0.0028659880626946688,0.0032848219852894545
27,0.002595371101051569,0.002772287465631962
28,0.0026816546451300383,0.002799303736537695
29,0.002594884019345045,0.0031602228991687298
30,0.002554256934672594,0.0031055151484906673
31,0.0025856385473161936,0.002771302592009306
32,0.0024251285940408707,0.002798279980197549
33,0.0024807248264551163,0.0026194173842668533
34,0.0023332994896918535,0.0026846504770219326
35,0.002606236608698964,0.0026448965072631836
36,0.002366424771025777,0.0026156294625252485
37,0.002284184331074357,0.002615817589685321
38,0.00234170607291162,0.0026845019310712814
39,0.0023495613131672144,0.002636743476614356
40,0.0023536900989711285,0.0025607438292354345
41,0.0022848478984087706,0.002587289782240987
42,0.002224533585831523,0.002470450708642602
43,0.0021856902167201042,0.002810795558616519
44,0.0023167962208390236,0.0028818168211728334
45,0.0025463977362960577,0.0024944529868662357
46,0.0021151856053620577,0.002386106876656413
47,0.0020741336047649384,0.0023626110050827265
48,0.002089375862851739,0.0023934359196573496
49,0.0020983770955353975,0.0023602796718478203
50,0.0021275917533785105,0.0033528374042361975
51,0.002231835387647152,0.0023815424647182226
52,0.002134765964001417,0.0023942827247083187
53,0.0020146784372627735,0.002306670881807804
54,0.0020114269573241472,0.002316323108971119
55,0.001989348093047738,0.0023779342882335186
56,0.002085441257804632,0.002314177807420492
57,0.0020166966132819653,0.0024888289626687765
58,0.0020439268555492163,0.002371268579736352
