epoch,loss,val_loss
1,0.001932096085511148,0.0023026419803500175
2,0.0019199828384444118,0.002298131585121155
3,0.001916942186653614,0.002288876101374626
4,0.001915358821861446,0.0022849130909889936
5,0.001914291176944971,0.002285997848957777
6,0.0019135664915665984,0.002286765491589904
7,0.001913665677420795,0.002294312696903944
8,0.0019131219014525414,0.002283521695062518
9,0.0019117863848805428,0.0022874195128679276
10,0.0019113515736535192,0.002278195694088936
11,0.00191106169950217,0.0022844241466373205
12,0.0019106658874079585,0.0022806059569120407
13,0.0019112674053758383,0.0022841752506792545
14,0.0019092620350420475,0.002280531683936715
15,0.0019080573692917824,0.002281963126733899
