epoch,loss,val_loss
1,0.05012674629688263,0.015637505799531937
2,0.013457467779517174,0.009500216692686081
3,0.008634552359580994,0.00704334769397974
4,0.007369024213403463,0.006378890480846167
5,0.005471657495945692,0.005355049856007099
6,0.004726490005850792,0.004931463859975338
7,0.0042696488089859486,0.004722761921584606
8,0.0038552440237253904,0.003980865236371756
9,0.0035566778387874365,0.003631691914051771
10,0.003446611575782299,0.005169941112399101
11,0.003592211753129959,0.003380385460332036
12,0.003080514259636402,0.0033675367012619972
13,0.003074348671361804,0.0032040420919656754
14,0.0029491186141967773,0.0035581612028181553
15,0.0030192388221621513,0.0031206458806991577
16,0.002938072197139263,0.0030721332877874374
17,0.00292175798676908,0.0030966426711529493
18,0.0029525151476264,0.0030646321829408407
19,0.0028182368259876966,0.0029495886992663145
20,0.0027256831526756287,0.0029344309587031603
21,0.0026683423202484846,0.00333241350017488
22,0.002707422012463212,0.0032614583615213633
23,0.002632765332236886,0.0029917326755821705
24,0.0026068915612995625,0.002974563976749778
25,0.002670631743967533,0.002839605789631605
26,0.0025595955085009336,0.0028121815994381905
27,0.0024829525500535965,0.0028181748930364847
28,0.002449335064738989,0.002717847004532814
29,0.0024547113571316004,0.0028556110337376595
30,0.002612403826788068,0.003342619864270091
31,0.002548410091549158,0.0027075738180428743
32,0.0023122939746826887,0.002594689140096307
33,0.0024209606926888227,0.0028665573336184025
34,0.002286133822053671,0.0027601520996540785
35,0.0023148178588598967,0.002580928849056363
36,0.0022604274563491344,0.0025643317494541407
37,0.002224040450528264,0.0025934784207493067
38,0.0022476024460047483,0.002600825624540448
39,0.0021847286261618137,0.002461783355101943
40,0.002267412608489394,0.002565631875768304
41,0.002126521896570921,0.002625709632411599
42,0.002140722470358014,0.0025978703051805496
43,0.002057638019323349,0.002380408812314272
44,0.0020471771713346243,0.0023567189928144217
45,0.002060920000076294,0.002777290530502796
46,0.0022365853656083345,0.002485111588612199
47,0.002099252538755536,0.0023115428630262613
48,0.0020648734644055367,0.0023365241941064596
49,0.0019809906370937824,0.002470391569659114
50,0.002303411951288581,0.002871439093723893
51,0.002138487994670868,0.0028952190186828375
52,0.002213891362771392,0.0027037987019866705
