sample,noisy_mse,noisy_mae,noisy_psnr,noisy_ssim,stage_one_mse,stage_one_mae,stage_one_psnr,stage_one_ssim,stage_two_mse,stage_two_mae,stage_two_psnr,stage_two_ssim,stage_one_mse_vs_noisy_percent,stage_two_mse_vs_noisy_percent,stage_two_mse_vs_stage_one_percent,stage_one_mae_vs_noisy_percent,stage_two_mae_vs_noisy_percent,stage_two_mae_vs_stage_one_percent,stage_one_psnr_vs_noisy,stage_two_psnr_vs_noisy,stage_two_psnr_vs_stage_one,stage_one_ssim_vs_noisy,stage_two_ssim_vs_noisy,stage_two_ssim_vs_stage_one
tile_0001,0.029728245919495768,0.1410794782645084,15.268307150788683,0.04646057263016701,0.00045838287736340417,0.016488273987666464,33.387716135657016,0.8867495656013489,0.0004600288613139726,0.016670091476072457,33.3721492067451,0.8866817951202393,98.45808972852045,98.45255296071038,-0.3590849553622153,88.31277646437509,88.18390053525866,-1.102707830680133,18.119408984868333,18.103842055956417,-0.015566928911916023,0.8402889929711819,0.8402212224900723,-6.777048110961914e-05
tile_0002,0.03314623378334928,0.1479261409212024,14.79565810849861,0.09230688214302063,0.0011989754127946556,0.025711584481996397,29.21189722820328,0.7302756309509277,0.0011934756121481484,0.02569333618237124,29.23186451075072,0.7301902770996094,96.38277030014507,96.39936283576301,0.45870837615325616,82.61863364928008,82.63096973775743,0.07097306522643214,14.41623911970467,14.436206402252111,0.019967282547440846,0.6379687488079071,0.6378833949565887,-8.535385131835938e-05
tile_0003,0.029252254486107465,0.1399585086350991,15.338406569956557,0.039877571165561676,0.00043593471759660927,0.016083913304707192,33.605785426358416,0.9008862972259521,0.00043522271330345393,0.01621360828626924,33.61288447857316,0.9008256793022156,98.5097397610716,98.512173776178,0.16332819213866542,88.50808467340752,88.4154179375107,-0.8063645899166184,18.26737885640186,18.2744779086166,0.007099052214741164,0.8610087260603905,0.8609481081366539,-6.0617923736572266e-05
tile_0004,0.031079926710653644,0.14350912772808866,15.075200139765364,0.0806545838713646,0.0008478628633860798,0.02114551046613637,30.716743865298156,0.8591192364692688,0.0008491480050086131,0.021263455252314618,30.71016606391549,0.858955442905426,97.27199207617356,97.26785711911752,-0.15157423187529356,85.26538987387516,85.1832036129415,-0.5577769634227219,15.641543725532792,15.634965924150126,-0.0065778013826651716,0.7784646525979042,0.7783008590340614,-0.00016379356384277344
tile_0005,0.03338408734577386,0.14553166719396282,14.764604920113612,0.1870729774236679,0.0021013295202385045,0.03460874233933945,26.775058383128204,0.7286952137947083,0.002093254210781183,0.03455425651587992,26.79178026493875,0.728725254535675,93.7055954279232,93.72978452548242,0.3842952463926236,76.21909856003138,76.2565377129732,0.15743369962795825,12.010453463014592,12.027175344825139,0.01672188181054679,0.5416222363710403,0.5416522771120071,3.0040740966796875e-05
tile_0006,0.030491861864651682,0.14220376549893862,15.15816056354302,0.05575856193900108,0.0006848357872799542,0.01935952058709726,31.6441355292771,0.8715522885322571,0.0006773121933067464,0.019367877216126317,31.692111059407083,0.8713210225105286,97.75403748606816,97.77871159093786,1.0985982498213451,86.38607035532982,86.38019383792556,-0.043165475051200886,16.48597496573408,16.53395049586406,0.04797553012998179,0.815793726593256,0.8155624605715275,-0.00023126602172851562
tile_0007,0.031966303289288525,0.1412190453966423,14.953075843692432,0.08748340606689453,0.001139707949580993,0.025437714095062347,29.432064224660593,0.7533895373344421,0.0011018365527049843,0.02492025447924817,29.57882824289113,0.7549353241920471,96.43465827353613,96.55313114333683,3.3229036342101415,81.98705137567289,82.35347476733426,2.034222154869718,14.478988380968161,14.6257523991987,0.14676401823053808,0.6659061312675476,0.6674519181251526,0.0015457868576049805
tile_0008,0.03423794305287991,0.14864935453041164,14.654923347547486,0.11517634987831116,0.0016098202931523551,0.030440635656120207,27.932226022590285,0.6557183861732483,0.001610622427526475,0.030413251500187737,27.930062577562108,0.6556142568588257,95.29813957962949,95.29579675671843,-0.04982757252669569,79.52185143872087,79.54027341977755,0.08995921189630104,13.2773026750428,13.275139230014622,-0.0021634450281773354,0.5405420362949371,0.5404379069805145,-0.00010412931442260742
tile_0009,0.0313737791799738,0.13992789719557708,15.034331644978744,0.10833106189966202,0.0010915014454863415,0.02480828036659825,29.61975684813911,0.8241379857063293,0.0010465389041676007,0.024162958937897844,29.802446225080338,0.8231110572814941,96.52097555979785,96.66428804077381,4.119329525826405,82.27066877741774,82.73185017271767,2.6012340201107347,14.585425203160368,14.768114580101594,0.18268937694122656,0.7158069238066673,0.7147799953818321,-0.001026928424835205
tile_0010,0.03298730353204784,0.14524013311852876,14.81653183363833,0.12295445799827576,0.0017831102969925869,0.03166252220335508,27.488217920497075,0.6688047051429749,0.0017424494028153799,0.031156220752708446,27.588398240747843,0.668753445148468,94.5945557651893,94.71781802012839,2.2803353357213,78.19988076056383,78.5484768681104,1.599055967161661,12.671686086858745,12.771866407109513,0.10018032025076806,0.5458502471446991,0.5457989871501923,-5.125999450683594e-05
